experiment_id,experiment_number,pipeline_version,attack_type,message,quantum_state,shots,zero_count,one_count,probability_0,probability_1,error_rate,quantum_accuracy,noise_probability,threshold,classical_signature_valid,qds_valid,replay_detected,attack_detected,likely_attack_type,final_decision,ground_truth
3571ee74-b39a-4b21-9fa2-2a8055ed0a55,1,1.0,LEGITIMATE,SIH26141,Z,1000,1000,0,1.0,0.0,0.0,1.0,0.02,0.95,True,True,False,False,LEGITIMATE,TRUSTED,False
80e0ccf1-dbc9-47ac-9fa4-fdc80de88bf5,2,1.0,LEGITIMATE,QuantumSecure,Z,1000,1000,0,1.0,0.0,0.0,1.0,0.02,0.95,True,True,False,False,LEGITIMATE,TRUSTED,False
4e01c1d2-0564-42a0-87eb-c545c27e3411,3,1.0,LEGITIMATE,HelloBob,Z,1000,1000,0,1.0,0.0,0.0,1.0,0.02,0.95,True,True,False,False,LEGITIMATE,TRUSTED,False
2bb4cddb-8b69-4cb2-9318-825b5fcc8047,4,1.0,LEGITIMATE,TestMsg42,X,1000,1000,0,1.0,0.0,0.0,1.0,0.02,0.95,True,True,False,False,LEGITIMATE,TRUSTED,False
d1d9055c-a3e4-46ba-8586-c8cc384f4c46,5,1.0,LEGITIMATE,SecretData,X,1000,1000,0,1.0,0.0,0.0,1.0,0.02,0.95,True,True,False,False,LEGITIMATE,TRUSTED,False
98dfa212-979e-4f82-b6f1-fcf1708b92f0,6,1.0,LEGITIMATE,SIH26141,Y,1000,1000,0,1.0,0.0,0.0,1.0,0.02,0.95,True,True,False,False,LEGITIMATE,TRUSTED,False
aeb6c938-9411-4aac-b4af-4dba02e1d154,7,1.0,LEGITIMATE,QuantumSecure,Z,1000,1000,0,1.0,0.0,0.0,1.0,0.02,0.95,True,True,False,False,LEGITIMATE,TRUSTED,False
88347212-3451-479f-abde-754210f3eaea,8,1.0,LEGITIMATE,HelloBob,X,1000,1000,0,1.0,0.0,0.0,1.0,0.02,0.95,True,True,False,False,LEGITIMATE,TRUSTED,False
2cd049ef-a98f-47da-b380-3df750728c09,9,1.0,LEGITIMATE,TestMsg42,X,1000,1000,0,1.0,0.0,0.0,1.0,0.02,0.95,True,True,False,False,LEGITIMATE,TRUSTED,False
68b2d2ac-6e78-4fd4-93a2-13e52340fa10,10,1.0,LEGITIMATE,SecretData,Y,1000,1000,0,1.0,0.0,0.0,1.0,0.02,0.95,True,True,False,False,LEGITIMATE,TRUSTED,False
2159e2d9-09db-494c-a763-9ea142400afc,11,1.0,FORGERY,SIH26141,X,1000,1000,0,1.0,0.0,0.0,1.0,0.02,0.95,False,False,False,True,FORGERY_OR_IMPERSONATION,INVALID / SUSPICIOUS,True
ea98c134-cc02-45c7-97e9-b76ead597085,12,1.0,FORGERY,QuantumSecure,X,1000,1000,0,1.0,0.0,0.0,1.0,0.02,0.95,False,False,False,True,FORGERY_OR_IMPERSONATION,INVALID / SUSPICIOUS,True
